fin_year,month,state_code,state_name,district_code,district_name,Approved_Labour_Budget,Average_Wage_rate_per_day_per_person,Average_days_of_employment_provided_per_Household,Differently_abled_persons_worked,Material_and_skilled_Wages,Number_of_Completed_Works,Number_of_GPs_with_NIL_exp,Number_of_Ongoing_Works,Persondays_of_Central_Liability_so_far,SC_persondays,SC_workers_against_active_workers,ST_persondays,ST_workers_against_active_workers,Total_Adm_Expenditure,Total_Exp,Total_Households_Worked,Total_Individuals_Worked,Total_No_of_Active_Job_Cards,Total_No_of_Active_Workers,Total_No_of_HHs_completed_100_Days_of_Wage_Employment,Total_No_of_JobCards_issued,Total_No_of_Workers,Total_No_of_Works_Takenup,Wages,Women_Persondays,percent_of_Category_B_Works,percent_of_Expenditure_on_Agriculture_Allied_Works,percent_of_NRM_Expenditure,percentage_payments_gererated_within_15_days,Remarks
2024-2025,Nov,26,PUNJAB,2612,FARIDKOT,879932,329.928113425223,26,87,561.955154477001,960,1,1427,658760,530250,58846,34,4,100.97427,2836.363864477,24879,31870,39418,73877,6,52838,93677,2387,2173.43444,441927,6,79.05,3.03,100.59,NA
2024-2025,Nov,26,PUNJAB,2621,BARNALA,652231,326.563463775534,27,51,490.678926815,537,5,1074,429820,384142,37607,83,15,91.11722,1985.431226815,15789,17950,25424,43250,55,37861,61028,1611,1403.63508,304203,21,58.66,8.51,100.48,NA
2024-2025,Nov,26,PUNJAB,2606,KAPURTHALA,610254,325.566871254017,33,40,1307.316126675,1406,47,4379,513717,438318,34751,1095,80,83.35519,3063.163680675,15382,16499,28647,41564,32,46986,66745,5785,1672.492364,399714,20,30.7,13.1,116.81,NA
2024-2025,Nov,26,PUNJAB,2609,PATIALA,2070361,325.065999763297,26,120,769.666781911,2925,22,5544,1487092,974441,88103,0,0,171.20808,5774.905339111,55745,61672,86534,133506,262,128426,185181,8469,4834.0304772,1176312,16,48.63,28.81,100.98,NA
2024-2025,Nov,26,PUNJAB,2615,MOGA,1134204,324.511982113215,22,38,352.189715845,1259,8,3122,678937,618113,86927,69,15,110.43597,2665.857601845,30064,34602,56291,96209,7,90558,146671,4381,2203.231916,475317,9,61.29,25.61,106.71,NA
2024-2025,Nov,26,PUNJAB,2617,MANSA,1084216,300.717687280578,22,166,304.9392644,383,3,2133,635477,507094,75691,0,0,104.25143,2320.182432,28592,33519,49108,95008,47,82704,144700,2516,1910.9917376,443757,22,48.77,19.09,103.06,NA
2024-2025,Nov,26,PUNJAB,2620,TARN TARAN,1043589,326.667764579547,35,32,823.575691,2513,43,5205,1196625,869837,57760,1660,44,123.57266,4856.1364889,33658,35146,59980,78394,654,115522,161943,7718,3908.9881379,694243,28,69.86,8.04,112.21,NA
2024-2025,Nov,26,PUNJAB,2622,Pathankot,619902,326.781848856893,36,21,773.3001026,1036,59,4079,355041,165279,15352,91,8,137.69054,2071.2001866,9698,10205,24771,32100,16,43598,56130,5115,1160.209544,124550,21,73.91,2.9,101.42,NA
2024-2025,Nov,26,PUNJAB,2601,GURDASPUR,940498,331.281272654493,27,28,1934.197729999,2123,351,5887,542111,68640,9281,371,11,168.52046,3898.630409999,19581,20624,62390,72057,28,122646,139845,8010,1795.91222,271463,40,67.22,9.02,102.62,NA
2024-2025,Nov,26,PUNJAB,2605,JALANDHAR,525031,326.069512949635,36,21,1545.002378485,1507,73,4348,680135,640575,46246,228,9,116.07642,3878.791680385,18792,19859,37404,50856,14,73598,98210,5855,2217.7128819,526368,26,79.31,9.39,103.55,NA
2024-2025,Nov,26,PUNJAB,2609,PATIALA,2070361,324.574477942168,26,119,769.666781911,2925,22,5537,1484280,972827,88100,0,0,171.20808,5758.468923111,55702,61616,86527,133499,260,128408,185165,8462,4817.5940612,1174116,16,48.8,28.75,100.98,NA
2024-2025,Nov,26,PUNJAB,2601,GURDASPUR,940498,330.41655138171,28,28,1936.182729999,2187,343,5838,555869,70365,9307,371,11,168.95071,3941.816619999,19829,20878,62506,72200,31,122978,140223,8025,1836.68318,277541,40,67.52,9.16,102.57,NA
2024-2025,Nov,26,PUNJAB,2605,JALANDHAR,525031,326.754278906332,36,21,1545.002378485,1518,72,4344,683864,644041,46251,228,9,116.07642,3895.633680385,18872,19942,37414,50862,15,73619,98201,5862,2234.5548819,529278,26,79.35,9.37,103.51,NA
2024-2025,Nov,26,PUNJAB,2610,SANGRUR,1687247,323.8877634239,27,74,1269.138720423,1836,9,2710,1190619,953000,78585,187,19,157.25047,5282.658440423,42855,46841,62188,99932,65,86313,130473,4546,3856.26925,866053,11,54.62,17.09,101.55,NA
2024-2025,Nov,26,PUNJAB,2616,MUKATSAR,1471394,337.665669106936,19,159,1341.990452578,1746,9,6147,972707,832596,127910,335,68,130.03314,4756.521192578,49303,62448,78371,152107,11,105957,196226,7893,3284.4976,669082,31,59.77,11.57,102.26,NA
2024-2025,Nov,26,PUNJAB,2621,BARNALA,652231,326.234030238956,27,51,490.678926815,538,5,1074,433679,387615,37612,83,15,91.11722,1996.604626815,15824,17992,25426,43255,56,37862,61032,1612,1414.80848,307180,21,58.74,8.15,100.48,NA
2024-2025,Nov,26,PUNJAB,2622,Pathankot,619902,326.451362892844,36,21,773.3001026,1036,57,4106,367417,171699,15456,72,7,142.48004,2115.2179466,10084,10616,24925,32296,22,43863,56434,5142,1199.437804,128890,21,73.23,2.95,101.35,NA
2024-2025,Dec,26,PUNJAB,2602,AMRITSAR,1087099,321.657484720097,31,52,1002.16829955,3817,64,5870,935379,727687,58888,829,52,159.33699,4170.22185355,29266,31093,60785,77995,80,104939,130355,9687,3008.716564,565032,20,53.41,3.56,103.5,NA
2024-2025,Dec,26,PUNJAB,2605,JALANDHAR,588247,323.925925449946,36,21,1545.002378485,1522,72,4359,690194,650233,46295,228,9,116.07642,3896.796100385,18939,20020,37442,50907,15,73642,98231,5881,2235.7173019,534483,27,79.44,9.32,103.51,NA
2024-2025,Dec,26,PUNJAB,2612,FARIDKOT,994255,329.647292282887,27,87,579.785763677002,995,1,1450,693407,559036,58911,40,4,102.07667,2967.659833677,25250,32432,39463,73976,7,52860,93740,2445,2285.7974,467058,6,79.61,3,100.53,NA
2024-2025,Dec,26,PUNJAB,2614,NAWANSHAHR ,1079315,323.51638904483,43,28,762.961142359,1633,4,2747,965462,683962,30014,16,4,70.19585,3956.584792359,22343,23740,33280,45075,212,49754,64781,4380,3123.4278,723192,25,59.06,29.64,100.01,NA
2024-2025,Dec,26,PUNJAB,2616,MUKATSAR,1728572,335.06208350574,19,159,1357.177652578,1790,9,6127,988459,846277,127961,341,68,130.03314,4799.162112578,49608,62896,78399,152161,11,105985,196280,7917,3311.95132,680317,31,59.64,11.57,102.25,NA
2024-2025,Dec,26,PUNJAB,2603,FEROZEPUR                 ,1740255,320.495816826464,29,35,1652.339495238,3004,142,6776,972171,791597,90387,248,62,133.54921,4901.656092638,33053,39693,69292,111046,65,117788,180007,9780,3115.7673874,547911,20,72.67,5.21,110.38,NA
2024-2025,Dec,26,PUNJAB,2604,LUDHIANA,2097287,319.265385654525,31,73,1923.754224526,2103,68,6840,1347268,1117455,75692,0,0,191.3384,6416.453000526,43040,45731,67585,90527,102,107858,135980,8943,4301.360376,1093990,21,77.99,12.37,102.47,NA
2024-2025,Dec,26,PUNJAB,2607,HOSHIARPUR,1393791,329.88614600405,34,10,1003.190562775,1791,297,7198,807868,434982,59230,640,49,156.63389,3824.869062775,23535,24458,61835,97681,39,107434,161118,8989,2665.04461,498115,15,67.49,8.04,105.73,NA
2024-2025,Dec,26,PUNJAB,2608,ROPAR,1017587,338.725681301637,43,24,1062.025976972,1577,29,4237,792417,485599,25137,0,9,93.0981,3839.24395897199,18049,19250,29626,44406,262,52182,73199,5814,2684.119882,622323,28,55.16,4.86,110.82,NA
2024-2025,Dec,26,PUNJAB,2609,PATIALA,2359771,325.117138930581,27,122,773.737287311,3041,23,5549,1571713,1029967,88148,0,0,171.20808,6054.853705111,56601,62736,86612,133593,294,128453,185179,8590,5109.9083378,1244698,16,48.67,29.16,100.91,NA
2024-2025,Dec,26,PUNJAB,2612,FARIDKOT,994255,328.762451724502,27,87,579.785763677002,995,1,1459,700666,564373,58942,40,4,102.07667,2985.389153677,25330,32556,39477,74013,8,52878,93787,2454,2303.52672,472281,6,79.71,2.97,100.56,NA
2024-2025,Dec,26,PUNJAB,2617,MANSA,1254732,305.382602222038,23,174,309.2911183,397,3,2182,686667,548801,75769,0,0,104.25143,2510.5041015,29742,34965,49206,95129,60,82647,144543,2579,2096.9615532,481986,22,50.43,18.96,102.83,NA
2024-2025,Dec,26,PUNJAB,2621,BARNALA,705000,325.981477784684,27,61,491.133006815,543,5,1077,440822,393812,37630,90,15,91.11722,2019.248296815,15884,18090,25440,43280,71,37866,61042,1620,1436.99807,311945,21,59.03,8.13,100.44,NA
2024-2025,Nov,26,PUNJAB,2605,JALANDHAR,525031,326.704069384477,36,21,1545.002378485,1518,73,4341,683467,643674,46259,228,9,116.07642,3893.993300385,18869,19939,37414,50870,14,73626,98241,5859,2232.9145019,528958,26,79.36,9.37,103.54,NA
2024-2025,Nov,26,PUNJAB,2608,ROPAR,912207,340.463663859756,43,24,1037.169058772,1559,30,4214,777961,476907,25099,0,9,93.0981,3778.94168277199,17896,19075,29579,44334,228,52132,73134,5773,2648.674524,611495,28,54.79,4.99,110.81,NA
2024-2025,Nov,26,PUNJAB,2617,MANSA,1084216,306.892873925084,22,168,305.6302657,391,3,2146,651795,520321,75717,0,0,104.25143,2410.1941033,28987,34022,49132,95053,48,82702,144698,2537,2000.3124076,455584,22,49.29,19.01,103.03,NA
2024-2025,Nov,26,PUNJAB,2624,MALERKOTLA,322961,329.088347318197,28,19,242.290388848,260,13,1268,243120,205271,16191,9,2,38.60577,1080.975748848,8470,9180,12962,19064,30,19822,27195,1528,800.07959,188090,13,43.19,20.01,100,NA
2024-2025,Nov,26,PUNJAB,2602,AMRITSAR,999220,323.184989397708,31,50,987.22769545,3812,64,5841,927158,721481,58814,794,52,159.33699,4143.00016945,29098,30910,60721,77909,73,104803,130198,9653,2996.435484,560374,20,53.53,3.54,103.49,NA
2024-2025,Nov,26,PUNJAB,2606,KAPURTHALA,610254,323.5525469323,33,40,1307.316126675,1506,47,4253,521922,445349,34778,1127,80,83.35519,3079.363240675,15493,16620,28665,41598,33,46999,66768,5759,1688.691924,406233,20,31.11,12.89,116.89,NA
2024-2025,Nov,26,PUNJAB,2608,ROPAR,912207,340.254084352892,43,24,1039.027427972,1571,30,4214,782119,479875,25106,0,9,93.0981,3793.31736997199,17935,19122,29585,44348,240,52161,73172,5785,2661.191842,614791,28,55.12,4.91,110.78,NA
2024-2025,Nov,26,PUNJAB,2610,SANGRUR,1687247,323.491917461326,27,74,1269.138720423,1845,9,2727,1196530,957521,78598,187,19,157.25047,5297.067030423,42926,46929,62198,99949,65,86316,130480,4572,3870.67784,870833,11,54.76,17.03,101.64,NA
2024-2025,Nov,26,PUNJAB,2614,NAWANSHAHR ,964011,324.975804501123,42,28,762.961142359,1619,4,2732,955095,677006,30003,16,4,70.19585,3936.984652359,22276,23660,33263,45059,205,49747,64771,4351,3103.82766,715177,25,59.09,29.73,99.98,NA
2024-2025,Nov,26,PUNJAB,2616,MUKATSAR,1471394,337.754146337458,19,159,1341.990452578,1783,9,6111,974173,833930,127913,335,68,130.03314,4762.333292578,49313,62470,78373,152111,11,105962,196235,7894,3290.3097,670032,31,59.71,11.56,102.25,NA
2024-2025,Nov,26,PUNJAB,2621,BARNALA,652231,325.42036349918,27,60,490.678926815,538,5,1074,434719,388509,37613,83,15,91.11722,1996.460296815,15832,18010,25429,43258,57,37862,61032,1612,1414.66415,307882,21,58.76,8.13,100.47,NA
2024-2025,Dec,26,PUNJAB,2601,GURDASPUR,1011274,329.350410080485,28,29,1941.955209599,2224,337,5814,561719,71360,9313,371,11,168.95071,3960.929749599,19934,20991,62551,72257,31,123186,140457,8038,1850.02383,280002,40,67.56,9,102.55,NA
2024-2025,Dec,26,PUNJAB,2602,AMRITSAR,1087099,322.55951047006,31,52,1002.50217805,3817,64,5858,931179,724708,58849,794,52,159.33699,4165.44559205,29166,30985,60753,77956,80,104850,130258,9675,3003.606424,562480,20,53.49,3.56,103.5,NA
2024-2025,Dec,26,PUNJAB,2604,LUDHIANA,2097287,321.026914690682,30,73,1905.399099626,2103,68,6824,1326807,1099716,75636,0,0,191.3384,6356.145075626,42835,45500,67544,90463,100,107843,135949,8927,4259.407576,1076829,21,78.02,12.3,102.48,NA
2024-2025,Dec,26,PUNJAB,2604,LUDHIANA,2097287,321.258616707833,31,73,1929.172554526,2107,68,6838,1351833,1121653,75699,0,0,191.3384,6463.390950526,43085,45780,67590,90537,104,107879,136009,8945,4342.879996,1097608,21,78.01,12.35,102.46,NA
2024-2025,Dec,26,PUNJAB,2605,JALANDHAR,588247,322.827563853322,36,21,1545.002378485,1526,72,4365,701099,660712,46367,228,9,116.07642,3924.419620385,19091,20187,37507,50982,16,73660,98254,5891,2263.3408219,543263,27,79.59,9.26,103.47,NA
2024-2025,Dec,26,PUNJAB,2610,SANGRUR,1873017,324.177264246552,28,75,1274.937176523,1848,9,2770,1222559,978729,78641,187,19,157.29747,5395.492966523,43216,47295,62242,100019,71,86348,130527,4618,3963.25832,890772,11,55.22,16.77,101.59,NA
2024-2025,Dec,26,PUNJAB,2612,FARIDKOT,994255,329.174029198798,27,87,581.200733677001,997,1,1459,705577,568041,58960,40,4,102.07667,3005.853643677,25365,32633,39484,74032,9,52895,93830,2456,2322.57624,475494,6,79.5,2.94,100.55,NA
2024-2025,Dec,26,PUNJAB,2614,NAWANSHAHR ,1079315,324.916244357901,43,28,762.961142359,1674,3,2744,981904,695112,30049,16,4,79.48139,4032.808132359,22449,23868,33310,45120,221,49760,64800,4418,3190.3656,735279,25,59.23,29.37,100.02,NA
2024-2025,Dec,26,PUNJAB,2622,Pathankot,680227,323.110191703954,36,21,790.4656719,1038,56,4141,383508,179230,15530,72,7,145.8782,2175.4973059,10398,10953,25039,32448,22,44057,56642,5179,1239.153434,134346,21,72.61,2.82,101.37,NA
2024-2025,Dec,26,PUNJAB,2601,GURDASPUR,1011274,329.54971667226,28,30,1941.955209599,2338,336,5792,575129,72954,9337,371,11,168.95071,4006.241909599,20269,21351,62780,72524,35,123563,140896,8130,1895.33599,286550,40,67.07,9.37,102.59,NA
2024-2025,Dec,26,PUNJAB,2618,FATEHGARH SAHIB,1903183,322.877767309103,45,154,258.2616516,1989,0,3114,1189793,895737,42429,0,0,139.60186,4239.4405856,26288,28251,35496,56069,155,53242,78662,5103,3841.577074,964361,24,30.62,46.83,99.98,NA
2024-2025,Dec,26,PUNJAB,2619,SAS NAGAR MOHALI,476866,323.614638775884,37,12,459.1206657,847,12,2672,360358,178740,11580,138,7,53.22616,1678.5180657,9564,10228,16517,22982,90,33887,45039,3519,1166.17124,303983,22,57.32,14.03,104.23,NA
2024-2025,Dec,26,PUNJAB,2621,BARNALA,705000,325.930866949665,27,62,491.133006815,543,5,1099,444997,397645,37647,90,15,91.11722,2032.632806815,15938,18157,25452,43298,72,37872,61049,1642,1450.38258,315141,22,59.15,8.07,100.42,NA
2024-2025,Dec,26,PUNJAB,2606,KAPURTHALA,674248,321.213958487396,34,40,1307.316126675,1593,46,4233,536849,458246,34817,1151,80,83.35519,3115.105240675,15661,16809,28696,41646,46,47047,66839,5826,1724.433924,418186,20,31.75,12.84,116.56,NA
2024-2025,Dec,26,PUNJAB,2609,PATIALA,2359771,324.631565218643,28,123,775.757251511,3064,21,5605,1597764,1045991,88150,0,0,171.20808,6133.811613211,56916,63154,86652,133643,302,128445,185158,8669,5186.8462817,1265201,17,48.69,29.34,100.86,NA
2024-2025,Dec,26,PUNJAB,2619,SAS NAGAR MOHALI,476866,323.613740741871,37,12,459.1206657,847,12,2672,360359,178741,11580,138,7,53.22616,1678.5180657,9564,10228,16517,22982,90,33887,45039,3519,1166.17124,303983,22,57.32,14.03,104.23,NA
2024-2025,Dec,26,PUNJAB,2602,AMRITSAR,1087099,320.860993212584,32,52,1014.09013675,3821,63,5891,949404,738371,59016,836,52,162.89448,4223.25172075,29503,31346,60912,78152,83,105145,130587,9712,3046.267104,573037,20,53.24,3.52,103.7,NA
2024-2025,Dec,26,PUNJAB,2606,KAPURTHALA,674248,323.668211368687,34,40,1307.316126675,1593,46,4231,532832,454581,34799,1136,80,83.35519,3115.279120675,15612,16751,28683,41627,43,47025,66815,5824,1724.607804,414836,20,31.63,12.92,116.57,NA
2024-2025,Dec,26,PUNJAB,2612,FARIDKOT,994255,328.818320331631,28,87,591.424961877001,998,1,1463,716701,577277,58998,40,4,102.07667,3050.145821877,25479,32798,39506,74078,9,52901,93847,2461,2356.64419,483522,6,79.76,2.9,100.56,NA
2024-2025,Dec,26,PUNJAB,2622,Pathankot,680227,322.440661531584,37,21,790.4656719,1038,56,4148,389218,180832,15540,72,7,151.19806,2196.6608259,10442,11004,25054,32476,26,44083,56676,5186,1254.997094,135413,21,72.87,2.79,101.35,NA
2024-2025,Dec,26,PUNJAB,2602,AMRITSAR,1087099,321.510084446159,32,52,1014.18363675,3821,63,5901,951257,739693,59068,836,52,162.89448,4235.46530075,29580,31432,60966,78217,86,105172,130619,9722,3058.387184,574089,20,53.24,3.52,103.69,NA
2024-2025,Dec,26,PUNJAB,2603,FEROZEPUR                 ,1740255,317.869296029338,29,35,1653.068495238,3004,142,6790,987669,805262,90464,248,62,140.86303,4933.428022638,33227,39940,69352,111138,68,117904,180165,9794,3139.4964974,556799,20,72.85,5.15,110.29,NA
2024-2025,Dec,26,PUNJAB,2604,LUDHIANA,2097287,321.442323549374,31,74,1931.137538126,2109,68,6856,1365807,1133160,75737,0,0,191.3384,6512.757694126,43191,45902,67618,90589,114,107882,136021,8965,4390.281756,1109111,21,78.04,12.35,102.45,NA
2024-2025,Dec,26,PUNJAB,2610,SANGRUR,1873017,324.968965278935,28,76,1275.224296523,1848,9,2787,1229945,983944,78648,193,19,157.29747,5429.461306523,43267,47380,62250,100029,72,86356,130536,4635,3996.93954,896306,11,55.32,16.67,101.58,NA
2024-2025,Dec,26,PUNJAB,2602,AMRITSAR,1087099,323.785450849967,32,55,1019.31965675,3838,63,5935,967273,752757,59182,845,52,162.89448,4314.10338075,29815,31692,61087,78371,89,105692,131204,9773,3131.889244,583377,20,53.21,3.53,104.13,NA
2024-2025,Dec,26,PUNJAB,2604,LUDHIANA,2097287,320.316601823381,32,74,1933.084998126,2110,68,6885,1390275,1154425,75809,14,2,191.3384,6577.705034126,43424,46168,67681,90676,121,107950,136112,8995,4453.28163600001,1129468,21,78,12.41,102.39,NA
2024-2025,Dec,26,PUNJAB,2605,JALANDHAR,588247,325.070791213463,37,21,1556.450712285,1548,70,4363,710314,669402,46425,228,9,116.07642,3981.550472185,19191,20305,37562,51045,18,73705,98301,5911,2309.0233399,550124,27,79.92,9.07,103.41,NA
2024-2025,Dec,26,PUNJAB,2609,PATIALA,2359771,324.737963330895,28,124,777.286306511,3099,21,5643,1644327,1078464,88267,0,0,171.20808,6288.248396811,57490,63908,86762,133807,331,128413,185138,8742,5339.7540103,1302550,17,48.66,29.72,100.87,NA
2024-2025,Dec,26,PUNJAB,2612,FARIDKOT,994255,329.136700508857,28,87,595.519661877001,1006,1,1491,735374,592483,59040,46,4,102.07667,3117.982051877,25702,33159,39530,74125,10,52966,93971,2497,2420.38572,496281,6,79.52,2.86,100.55,NA
2024-2025,Dec,26,PUNJAB,2615,MOGA,1253121,319.966015862258,23,38,358.422165845,1282,6,3247,739239,673008,87221,75,15,112.12963,2835.865371845,31202,35964,56458,96544,12,90602,146791,4529,2365.313576,521325,8,61.68,25.72,106.41,NA
2024-2025,Dec,26,PUNJAB,2619,SAS NAGAR MOHALI,476866,320.351869920472,38,13,461.0086291,854,12,2675,366914,181558,11584,138,7,53.22616,1689.6506491,9606,10279,16530,22999,95,33914,45070,3529,1175.41586,309474,22,57.56,14.06,104.17,NA
2024-2025,Dec,26,PUNJAB,2620,TARN TARAN,1244899,325.676374362782,36,32,829.721141,2525,42,5280,1257812,912242,58334,1667,45,126.31211,5052.4297689,34710,36242,60807,79304,836,117330,163769,7805,4096.3965179,729343,28,71.16,7.86,112.08,NA
2024-2025,Dec,26,PUNJAB,2622,Pathankot,680227,324.207635466756,37,22,791.5581719,1038,53,4165,402202,187481,15638,95,7,158.25187,2253.7796359,10720,11299,25203,32653,29,44271,56894,5203,1303.969594,140051,21,72.53,2.95,101.47,NA
2024-2025,Dec,26,PUNJAB,2601,GURDASPUR,1011274,327.778237794602,28,33,1942.125188999,2382,325,5794,596355,75477,9369,371,11,174.21443,4071.061528999,20693,21804,63030,72827,40,124423,141863,8176,1954.72191,296956,40,66.33,9.42,102.64,NA
2024-2025,Dec,26,PUNJAB,2605,JALANDHAR,588247,326.544018853189,37,21,1556.450712285,1548,70,4370,711922,670914,46435,228,9,116.07642,3997.265842185,19218,20339,37569,51055,19,73724,98325,5918,2324.7387099,551455,27,79.92,9.06,103.44,NA
2024-2025,Dec,26,PUNJAB,2612,FARIDKOT,994255,329.433749208038,28,88,604.522772877001,1010,1,1499,748142,602944,59086,46,4,104.8526,3174.007612877,25834,33375,39555,74180,11,52974,93995,2509,2464.63224,505046,6,79.59,2.8,100.55,NA
2024-2025,Dec,26,PUNJAB,2616,MUKATSAR,1728572,324.929219971539,21,163,1386.019706978,1835,9,6255,1115908,954599,128492,400,68,143.26514,5155.196006978,51689,66171,78668,152783,18,106194,196787,8090,3625.91116,773612,30,59.97,11.49,102.08,NA
2024-2025,Dec,26,PUNJAB,2618,FATEHGARH SAHIB,1903183,322.803485971666,47,155,258.2616516,2015,0,3156,1249293,941462,42483,0,0,153.47092,4444.4939256,26507,28534,35539,56143,254,53303,78755,5171,4032.761354,1013001,24,30.61,47.47,100,NA
2024-2025,Dec,26,PUNJAB,2622,Pathankot,680227,324.826883651494,37,22,800.5101726,1038,53,4175,405927,188749,15656,95,7,159.52687,2278.5970666,10816,11408,25268,32728,29,44359,56988,5213,1318.560024,141104,21,72.15,2.96,101.45,NA
2024-2025,Dec,26,PUNJAB,2603,FEROZEPUR                 ,1740255,321.759609221618,30,36,1672.301942338,3013,141,6824,1011059,825886,90621,248,62,140.86303,5066.344459738,33543,40372,69469,111332,70,118117,180455,9837,3253.1794874,570659,21,72.91,5.14,110.82,NA
2024-2025,Dec,26,PUNJAB,2608,ROPAR,1017587,339.430498888766,44,24,1063.923128222,1577,29,4289,814410,498973,25172,0,9,93.1071,3921.38615422199,18200,19431,29671,44488,293,52240,73290,5866,2764.355926,639828,28,55.44,4.87,110.73,NA
2024-2025,Dec,26,PUNJAB,2621,BARNALA,705000,325.904225676556,28,66,491.133006815,556,5,1116,451478,403310,37661,95,14,91.11722,2053.636106815,16000,18240,25456,43313,74,37872,61056,1672,1471.38588,319565,22,58.51,8.02,100.42,NA
2024-2025,Dec,26,PUNJAB,2606,KAPURTHALA,674248,318.903980318625,34,40,1307.316126675,1631,46,4207,542645,463218,34846,1157,80,83.35519,3121.187820675,15746,16905,28708,41677,48,47070,66869,5838,1730.516504,422646,20,31.86,12.93,116.45,NA
2024-2025,Dec,26,PUNJAB,2621,BARNALA,705000,326.061182303059,28,65,491.133006815,556,5,1105,449411,401527,37654,90,15,91.11722,2047.605046815,15986,18223,25455,43306,73,37873,61054,1661,1465.35482,318129,22,59.24,8.1,100.41,NA
2024-2025,Dec,26,PUNJAB,2608,ROPAR,1017587,337.339236825562,44,24,1063.721336972,1577,29,4270,803355,492212,25156,0,9,93.1071,3866.86006297199,18110,19332,29647,44443,269,52207,73236,5847,2710.031626,631168,28,55.18,4.9,110.71,NA
2024-2025,Dec,26,PUNJAB,2617,MANSA,1254732,303.617680972002,23,177,309.6488659,397,3,2221,709875,567854,75745,0,0,104.61671,2569.5715887,30170,35503,49243,95129,61,82618,144431,2618,2155.3060128,499210,22,50.49,19.25,102.74,NA
2024-2025,Dec,26,PUNJAB,2603,FEROZEPUR                 ,1740255,319.880441868831,30,37,1672.301942338,3015,141,6841,1020167,832006,90657,250,62,140.86303,5076.479679738,33671,40533,69510,111382,72,118148,180491,9856,3263.3147074,575647,21,72.92,5.11,110.78,NA
2024-2025,Dec,26,PUNJAB,2604,LUDHIANA,2097287,318.582258055423,32,74,1943.388786126,2110,68,6896,1418920,1177291,75879,14,2,191.3384,6655.154562126,43694,46490,67759,90773,125,107986,136157,9006,4520.42737600001,1152692,21,78.07,12.4,102.39,NA
2024-2025,Dec,26,PUNJAB,2605,JALANDHAR,588247,326.151425282545,37,21,1556.450712285,1548,70,4370,711922,670914,46435,228,9,116.07642,3994.470882185,19218,20339,37569,51055,19,73724,98325,5918,2321.9437499,551455,27,79.92,9.06,103.44,NA
2024-2025,Dec,26,PUNJAB,2606,KAPURTHALA,674248,323.517482763164,34,40,1307.316126675,1654,46,4192,546504,466746,34865,1168,81,83.35519,3158.707300675,15808,16977,28724,41700,49,47067,66860,5846,1768.035984,425846,20,32.01,13.1,116.18,NA
2024-2025,Dec,26,PUNJAB,2608,ROPAR,1017587,339.071611860128,44,24,1065.887913622,1577,29,4296,815809,500119,25180,0,9,96.17119,3928.23582962199,18215,19451,29677,44496,295,52247,73299,5873,2766.176726,640972,28,55.43,4.88,110.72,NA
2024-2025,Dec,26,PUNJAB,2623,Fazilka,2593180,295.293975785414,18,157,4433.338645805,1818,11,3915,1243548,735843,116765,303,78,161.83848,8267.299455805,66338,89750,108855,205902,9,139951,255852,5733,3672.12233,725124,29,64.22,5.4,109.98,NA
2024-2025,Dec,26,PUNJAB,2603,FEROZEPUR                 ,1740255,321.24911894794,30,37,1696.880020838,3021,134,6875,1040245,848779,90785,264,62,141.05037,5179.708288238,34032,40979,69634,111581,73,118303,180723,9896,3341.7778974,587504,21,72.85,5.02,110.74,NA
2024-2025,Dec,26,PUNJAB,2604,LUDHIANA,2097287,318.613000509553,32,74,1951.034561726,2122,67,6893,1430667,1186869,75927,14,2,210.04227,6719.367887726,43804,46621,67795,90827,131,108042,136226,9015,4558.291056,1161960,21,77.78,12.41,102.38,NA
2024-2025,Dec,26,PUNJAB,2605,JALANDHAR,588247,323.149665795062,37,21,1556.450712285,1552,70,4395,728924,687076,46562,228,9,116.07642,4028.042602185,19496,20640,37681,51196,21,73756,98367,5947,2355.5154699,564931,27,80.13,8.95,103.4,NA
2024-2025,Dec,26,PUNJAB,2616,MUKATSAR,1728572,326.771589836345,22,166,1387.749706978,1883,8,6269,1159937,993378,128692,430,68,160.45251,5338.546792978,52435,67331,78756,153004,19,106287,197030,8152,3790.344576,805736,30,60.08,11.54,102.02,NA
2024-2025,Dec,26,PUNJAB,2618,FATEHGARH SAHIB,1903183,322.860228760487,47,155,259.4138016,2015,0,3179,1269450,957551,42499,0,0,161.37281,4519.3357856,26570,28624,35554,56166,284,53344,78804,5194,4098.549174,1029478,24,30.78,47.59,100,NA
2024-2025,Dec,26,PUNJAB,2621,BARNALA,705000,325.550041574159,28,162,491.133006815,667,5,1127,459420,410305,37684,95,14,98.00234,2084.777347815,16087,18363,25473,43344,78,37883,61073,1794,1495.642001,325325,23,58.76,7.96,100.45,NA
2024-2025,Dec,26,PUNJAB,2623,Fazilka,2593180,295.117634495918,19,157,4438.536375805,1841,11,3919,1278273,755361,116897,319,78,181.03758,8391.982995805,67132,91107,108972,206174,9,140044,256120,5760,3772.40904,745235,29,64.36,5.54,109.68,NA
2024-2025,Dec,26,PUNJAB,2601,GURDASPUR,1011274,328.547554768388,28,35,1946.505698999,2392,323,5798,604135,76764,9392,401,13,174.21443,4105.590898999,20998,22124,63207,73036,40,124700,142171,8190,1984.87077,300332,40,66.31,9.45,102.65,NA
