fin_year,month,state_code,state_name,district_code,district_name,Approved_Labour_Budget,Average_Wage_rate_per_day_per_person,Average_days_of_employment_provided_per_Household,Differently_abled_persons_worked,Material_and_skilled_Wages,Number_of_Completed_Works,Number_of_GPs_with_NIL_exp,Number_of_Ongoing_Works,Persondays_of_Central_Liability_so_far,SC_persondays,SC_workers_against_active_workers,ST_persondays,ST_workers_against_active_workers,Total_Adm_Expenditure,Total_Exp,Total_Households_Worked,Total_Individuals_Worked,Total_No_of_Active_Job_Cards,Total_No_of_Active_Workers,Total_No_of_HHs_completed_100_Days_of_Wage_Employment,Total_No_of_JobCards_issued,Total_No_of_Workers,Total_No_of_Works_Takenup,Wages,Women_Persondays,percent_of_Category_B_Works,percent_of_Expenditure_on_Agriculture_Allied_Works,percent_of_NRM_Expenditure,percentage_payments_gererated_within_15_days,Remarks
2024-2025,April,26,PUNJAB,2616,MUKATSAR,80286,672.350201323961,6,10,11.8810289,160,271,7055,29306,23984,125345,6,66,0,208.9199789,4572,5234,76706,148811,0,104972,194138,7215,197.03895,19249,39,49.93,6.11,100.6,NA
2024-2025,April,26,PUNJAB,2621,BARNALA,27671,402.687114213954,6,12,0,76,175,1114,23491,21053,36757,0,15,0,94.59523,3517,3706,24864,42216,0,37695,60562,1190,94.59523,16367,32,48.04,10.48,100,NA
2024-2025,April,26,PUNJAB,2605,JALANDHAR,32024,455.228826166199,7,5,0,388,568,4623,20301,19426,43637,6,8,0,92.416004,2569,2601,35276,48036,0,72560,97008,5011,92.416004,15465,32,88.69,7.63,100,NA
2024-2025,April,26,PUNJAB,2611,BHATINDA                  ,100377,411.939973041785,5,94,0,153,88,2983,33385,27396,95018,0,8,0,137.52616,6136,6542,64896,117438,0,100071,166544,3136,137.52616,24658,10,43.07,8.13,100,NA
2024-2025,April,26,PUNJAB,2619,SAS NAGAR MOHALI,32635,383.096417604913,6,3,2.9556302,21,179,2728,9770,4703,11009,0,7,0,40.3841502,1512,1558,15777,21889,0,33387,44291,2749,37.42852,8047,28,52.71,1.42,100,NA
2024-2025,April,26,PUNJAB,2624,MALERKOTLA,15332,330.858140417457,5,3,3.3798,91,69,1088,13175,11350,15837,0,2,0,46.97036,2201,2247,12640,18572,0,19792,27046,1179,43.59056,10304,13,37.56,24.59,100,NA
2024-2025,April,26,PUNJAB,2607,HOSHIARPUR,136673,411.747934415001,10,2,30.7180777,121,1141,7351,23359,11865,59342,13,50,0,126.8982777,2175,2227,61041,97378,0,108405,163701,7472,96.1802,14002,20,67.85,10.91,100,NA
2024-2025,April,26,PUNJAB,2615,MOGA,91944,389.058559013743,6,5,0,31,201,3447,19792,18082,85273,0,15,0,77.00247,3174,3385,55203,94397,0,90330,146226,3478,77.00247,12977,12,63.09,18.45,100,NA
2024-2025,April,26,PUNJAB,2606,KAPURTHALA,33650,259.919498268277,7,10,0,390,274,5020,42732,36998,33607,96,78,0,111.0688,5610,5817,27788,40149,0,46652,66095,5410,111.0688,32228,25,22.66,7.01,100,NA
2024-2025,April,26,PUNJAB,2610,SANGRUR,167550,406.023002666487,6,14,8.4724244,101,70,3200,59254,48150,76478,25,17,0,249.0572944,9258,9405,60617,97171,0,85700,129066,3301,240.58487,44288,13,41.54,13.31,100,NA
